"1","Affirmative"
"L4","Camp their base!"
"L5","Camp their teleport!"
"L6","Found enemy miners.  Request assistance."
"L7","Found enemy constructor.  Request assistance."
"L8","Retreat!"
"L9","Ripcording!"
"L0","I'm busy!!"
"Qa","Capship waiting for turrets."
"Qb","Bomber waiting for turrets!!"
"Qc","Is our base clear?"
"Qd","Our miners are dead!"
"Qe","Escort miners!"
"Qf","Found enemy ships."
"Qh","Enemy has a flag"
"Qi","Inbound"
"Qj","Target needed!"
"Qk","Complete!"
"Ql","Come along"
"Qm","Escort builder"
"Qn","Need cruiser support!"
"Qo","Defend our miners,  they are getting hammered!"
"Qp","Base captured"
"Qr","They have capitols!"
"Qs","Gimme something to shoot at!"
"Qt","Their shields are down!"
"Qu","You're mad."
"Qv","Cover me!"
"Qw","We have a traitor in our midst."
"Qx","I'm out of ammo.. hmm, interesting."
"Qy","Transport outbound, please escort"
"Qz","Formate!"
"Q1","Regroup!"
"Q2","I can't hold 'em!!"
"Q3","Found aleph"
"Q4","Found enemy ships!"
"Q5","Found helium"
"Q6","Defend!"
"Q7","Attack!"
"Q8","Attack defenders."
"Q9","Defend defenders."
"Q0","Need defenders."
