"Kaliningrad, Russian Federation",+0200,EET - Eastern European Time
"Santa Ana, El Salvador",-0600,no timezone abbreviation
"Almaty, Kazakstan",+0600,no timezone abbreviation
"Milan, Italy",+0100,CET - Central European Time
"Zürich, Switzerland",+0100,CET - Central European Time
"Jerusalem, Israel",+0200,no timezone abbreviation
"Lanchow, China",+0800,no timezone abbreviation
"Basel, Switzerland",+0100,CET - Central European Time
"Charlotte, North Carolina, United States",-0500,EST - Eastern Standard Time
"Belmopan, Belize",-0600,no timezone abbreviation
"Denver, Colorado, United States",-0700,MST - Mountain Standard Time
"Kansas City, Missouri, United States",-0600,CST - Central Standard Time
"Washington DC, District of Columbia, United States",-0500,EST - Eastern Standard Time
"Nassau, Bahamas",-0500,no timezone abbreviation
"Tangier, Morocco",+0000,UTC - Coordinated Universal Time
CST,-0600,CST - Central Standard Time
"Tokyo, Japan",+0900,no timezone abbreviation
"Geneva, Switzerland",+0100,CET - Central European Time
"Bangalore, Karnataka, India",+0530,no timezone abbreviation
"Malabo, Equatorial Guinea",+0100,no timezone abbreviation
"Oklahoma City, Oklahoma, United States",-0600,CST - Central Standard Time
"Foochow, China",+0800,no timezone abbreviation
"Noumea, New Caledonia, France",+1100,no timezone abbreviation
"Kathmandu, Nepal",+0545,no timezone abbreviation
"Melbourne, Victoria, Australia",+1100,EDT - Eastern Daylight Time
"Tehran, Iran",+0330,no timezone abbreviation
"Gaborone, Botswana",+0200,no timezone abbreviation
"Chihuahua, Chihuahua, Mexico",-0700,MST - Mountain Standard Time
"San Diego, California, United States",-0800,PST - Pacific Standard Time
"Port Louis, Mauritius",+0400,no timezone abbreviation
"Helena, Montana, United States",-0700,MST - Mountain Standard Time
"Moscow, Russian Federation",+0300,no timezone abbreviation
IST,+0100,IST - Irish Summer Time
MESZ,+0200,MESZ - Mitteleuroäische Sommerzeit
"Mendoza, Mendoza, Argentina",-0200,no timezone abbreviation
"Boise, Idaho, United States",-0700,MST - Mountain Standard Time
"Cape Town, South Africa",+0200,no timezone abbreviation
AWST,+0800,AWST - Australian Western Standard Time
"Sioux Falls, South Dakota, United States",-0600,CST - Central Standard Time
AST,-0400,AST - Atlantic Standard Time
"Zibo, China",+0800,no timezone abbreviation
"Las Palmas, Canary Islands, Spain",+0000,UTC - Coordinated Universal Time
"Bastia, Corsica, France",+0100,CET - Central European Time
"Manaus, Amazonas, Brazil",-0400,no timezone abbreviation
"Muscat, Oman",+0400,no timezone abbreviation
"Pristina, Kosovo, Serbia",+0100,CET - Central European Time
B,+0200,B - Bravo Time Zone
NFT,+1130,NFT - Norfolk (Island) Time
"Monrovia, Liberia",+0000,UTC - Coordinated Universal Time
"Madrid, Spain",+0100,CET - Central European Time
"Vientiane, Laos",+0700,no timezone abbreviation
R,-0500,R - Romeo Time Zone
HAST,-1000,HAST - Hawaii-Aleutian Standard Time
"Georgetown, Guyana",-0400,no timezone abbreviation
"Sialkot, Pakistan",+0500,no timezone abbreviation
"Columbia, South Carolina, United States",-0500,EST - Eastern Standard Time
"Concord, New Hampshire, United States",-0500,EST - Eastern Standard Time
"Asuncion, Paraguay",-0300,no timezone abbreviation
"Lincoln, Nebraska, United States",-0600,CST - Central Standard Time
"Suva, Fiji",+1200,no timezone abbreviation
"Riverside, California, United States",-0800,PST - Pacific Standard Time
"Bangui, Central African Republic",+0100,no timezone abbreviation
"Salta, Salta, Argentina",-0200,no timezone abbreviation
"Adamstown, Pitcairn Islands, United Kingdom",-0800,no timezone abbreviation
"Markham, Ontario, Canada",-0500,EST - Eastern Standard Time
"Luoyang, China",+0800,no timezone abbreviation
"Singaraja, Bali, Indonesia",+0800,no timezone abbreviation
"Albany, New York, United States",-0500,EST - Eastern Standard Time
"Lubumbashi, Democratic Republic of the Congo",+0200,no timezone abbreviation
"Tijuana, Baja California, Mexico",-0800,PST - Pacific Standard Time
"Thimphu, Bhutan",+0600,no timezone abbreviation
"Lisbon, Portugal",+0000,WET - Western European Time
"Iqaluit, Nunavut Territory, Canada",-0500,EST - Eastern Standard Time
"Chatham Island, New Zealand",+1245,no timezone abbreviation
"Seattle, Washington, United States",-0800,PST - Pacific Standard Time
"Edinburgh, Scotland, United Kingdom",+0000,GMT - Greenwich Mean Time
"Amman, Jordan",+0200,no timezone abbreviation
"Calgary, Alberta, Canada",-0700,MST - Mountain Standard Time
"Lord Howe Island, Lord Howe Island, Australia",+1100,no timezone abbreviation
AKST,-0900,AKST - Alaska Standard Time
"Odesa, Ukraine",+0200,EET - Eastern European Time
"Carson City, Nevada, United States",-0800,PST - Pacific Standard Time
CEST,+0200,CEST - Central European Summer Time
"Longueuil, Quebec, Canada",-0500,EST - Eastern Standard Time
"Hamilton, Bermuda, United Kingdom",-0400,no timezone abbreviation
"Monterrey, Nuevo León, Mexico",-0600,CST - Central Standard Time
"Cancún, Quintana Roo, Mexico",-0600,CST - Central Standard Time
"Madison, Wisconsin, United States",-0600,CST - Central Standard Time
"Kingstown, Saint Vincent and Grenadines",-0400,no timezone abbreviation
"Nice, France",+0100,CET - Central European Time
"Kawasaki, Japan",+0900,no timezone abbreviation
"Las Vegas, Nevada, United States",-0800,PST - Pacific Standard Time
M,+1200,M - Mike Time Zone
"Kishinev, Moldova",+0200,EET - Eastern European Time
"Montevideo, Uruguay",-0200,no timezone abbreviation
"Aqtau, Kazakstan",+0500,no timezone abbreviation
"Auckland, New Zealand",+1300,no timezone abbreviation
"Aden, Yemen",+0300,no timezone abbreviation
"Virginia Beach, Virginia, United States",-0500,EST - Eastern Standard Time
"Hong Kong, China",+0800,no timezone abbreviation
"Saint-Petersburg, Russian Federation",+0300,no timezone abbreviation
"Canberra, Australian Capital Territory, Australia",+1100,EDT - Eastern Daylight Time
"Pyongyang, North Korea",+0900,no timezone abbreviation
"Darwin, Northern Territory, Australia",+0930,CST - Central Standard Time
"Beijing, China",+0800,no timezone abbreviation
"Bogota, Colombia",-0500,no timezone abbreviation
"Long Beach, California, United States",-0800,PST - Pacific Standard Time
"Mumbai, Maharashtra, India",+0530,no timezone abbreviation
"Dubai, Dubai, United Arab Emirates",+0400,no timezone abbreviation
"Majuro, Marshall Islands",+1200,no timezone abbreviation
"Funchal, Madeira, Portugal",+0000,UTC - Coordinated Universal Time
"Cali, Colombia",-0500,no timezone abbreviation
"Taegu, South Korea",+0900,no timezone abbreviation
"Basseterre, Saint Kitts and Nevis",-0400,no timezone abbreviation
"Saskatoon, Saskatchewan, Canada",-0600,CST - Central Standard Time
"Bamako, Mali",+0000,UTC - Coordinated Universal Time
"Kigali, Rwanda",+0200,no timezone abbreviation
"Toledo, Ohio, United States",-0500,EST - Eastern Standard Time
"Rabat, Morocco",+0000,UTC - Coordinated Universal Time
"Stanley, Falkland Islands, United Kingdom",-0300,no timezone abbreviation
"Mbabane, Swaziland",+0200,no timezone abbreviation
"Port-au-Prince, Haiti",-0500,no timezone abbreviation
"Pusan, South Korea",+0900,no timezone abbreviation
"Guam, Mariana Islands, United States",+1000,no timezone abbreviation
"Brades, Montserrat, United Kingdom",-0400,no timezone abbreviation
"Oranjestad, Aruba, Netherlands",-0400,no timezone abbreviation
"Sendai, Japan",+0900,no timezone abbreviation
"Halifax, Nova Scotia, Canada",-0400,AST - Atlantic Standard Time
H,+0800,H - Hotel Time Zone
"Bujumbura, Burundi",+0200,no timezone abbreviation
"Rome, Italy",+0100,CET - Central European Time
"Rochester, New York, United States",-0500,EST - Eastern Standard Time
"Baku, Azerbaijan",+0400,no timezone abbreviation
HAY,-0800,HAY - Heure Avancée du Yukon
"Koror, Palau",+0900,no timezone abbreviation
WET,+0000,WET - Western European Time
"Izmir, Turkey",+0200,EET - Eastern European Time
X,-1100,X - X-ray Time Zone
HAR,-0600,HAR - Heure Avancée des Rocheuses
HAT,-0230,HAT - Heure Avancée de Terre-Neuve
"Honolulu, Hawaii, United States",-1000,no timezone abbreviation
"Dushanbe, Tajikistan",+0500,no timezone abbreviation
"Tianjin, China",+0800,no timezone abbreviation
"Santo Domingo, Dominican Republic",-0400,no timezone abbreviation
"Nãgpur, Maharashtra, India",+0530,no timezone abbreviation
"Zagreb, Croatia",+0100,CET - Central European Time
"Nouakchott, Mauritania",+0000,UTC - Coordinated Universal Time
"Hovd, Mongolia",+0700,no timezone abbreviation
"Birmingham, England, United Kingdom",+0000,GMT - Greenwich Mean Time
"Amsterdam, Netherlands",+0100,CET - Central European Time
"Knoxville, Tennessee, United States",-0500,EST - Eastern Standard Time
"Kobe, Japan",+0900,no timezone abbreviation
"Algiers, Algeria",+0100,no timezone abbreviation
C,+0300,C - Charlie Time Zone
"Havana, Cuba",-0500,no timezone abbreviation
"Surrey, British Columbia, Canada",-0800,PST - Pacific Standard Time
"Galapagos Islands, Ecuador",-0600,no timezone abbreviation
"Alofi, Niue",-1100,no timezone abbreviation
"Mar del Plata, Buenos Aires, Argentina",-0200,no timezone abbreviation
"Kuwait City, Kuwait",+0300,no timezone abbreviation
"Samara, Russian Federation",+0400,no timezone abbreviation
"The Settlement, Christmas Island, Australia",+0700,CXT - Christmas Island Time
"San Francisco, California, United States",-0800,PST - Pacific Standard Time
"San Jose, Costa Rica",-0600,no timezone abbreviation
"Austin, Texas, United States",-0600,CST - Central Standard Time
"Canton, China",+0800,no timezone abbreviation
"Funafuti, Tuvalu",+1200,no timezone abbreviation
K,+1000,K - Kilo Time Zone
"Bishkek, Kyrgyzstan",+0600,no timezone abbreviation
"Port Elizabeth, South Africa",+0200,no timezone abbreviation
"Akron, Ohio, United States",-0500,EST - Eastern Standard Time
"Easter Island, Chile",-0500,no timezone abbreviation
CET,+0100,CET - Central European Time
"Mesa, Arizona, United States",-0700,MST - Mountain Standard Time
"Surat, Gujarat, India",+0530,no timezone abbreviation
"Ambon, Seram, Indonesia",+0900,no timezone abbreviation
"Montreal, Quebec, Canada",-0500,EST - Eastern Standard Time
"Makkah, Saudi Arabia",+0300,no timezone abbreviation
"Monaco, Monaco",+0100,CET - Central European Time
"Patna, Bihar, India",+0530,no timezone abbreviation
"Baton Rouge, Louisiana, United States",-0600,CST - Central Standard Time
"Georgetown, Grand Cayman, United Kingdom",-0500,no timezone abbreviation
"Abuja, Nigeria",+0100,no timezone abbreviation
S,-0600,S - Sierra Time Zone
"Doha, Qatar",+0300,no timezone abbreviation
"Jinan, China",+0800,no timezone abbreviation
"Wichita, Kansas, United States",-0600,CST - Central Standard Time
"Kinshasa, Democratic Republic of the Congo",+0100,no timezone abbreviation
"Mexico City, Federal District, Mexico",-0600,CST - Central Standard Time
PST,-0800,PST - Pacific Standard Time
HNA,-0400,HNA - Heure Normale de l'Atlantique
"Christchurch, New Zealand",+1300,no timezone abbreviation
HNE,-0500,HNE - Heure Normale de l'Est
HNP,-0800,HNP - Heure Normale du Pacifique
UTC,+0000,UTC - Coordinated Universal Time
HNR,-0700,HNR - Heure Normale des Rocheuses
"Cheyenne, Wyoming, United States",-0700,MST - Mountain Standard Time
HNT,-0330,HNT - Heure Normale de Terre-Neuve
"La Paz, Bolivia",-0400,no timezone abbreviation
HNY,-0900,HNY - Heure Normale du Yukon
"Cayenne, French Guiana, France",-0300,no timezone abbreviation
"Chelyabinsk, Russian Federation",+0500,no timezone abbreviation
"Lagos, Nigeria",+0100,no timezone abbreviation
"Berlin, Berlin, Germany",+0100,CET - Central European Time
"Manama, Bahrain",+0300,no timezone abbreviation
"Baltimore, Maryland, United States",-0500,EST - Eastern Standard Time
"Kitakyushu, Japan",+0900,no timezone abbreviation
"Kampala, Uganda",+0300,no timezone abbreviation
"Bern, Switzerland",+0100,CET - Central European Time
"Chennai, Tamil Nadu, India",+0530,no timezone abbreviation
"Brisbane, Queensland, Australia",+1000,EST - Eastern Standard Time
"Charlottetown, Pr.Edward I, Canada",-0400,AST - Atlantic Standard Time
"Cleveland, Ohio, United States",-0500,EST - Eastern Standard Time
"Kupang, West Timor, Indonesia",+0800,no timezone abbreviation
"Tel Aviv, Israel",+0200,no timezone abbreviation
"Abu Dhabi, Abu Dhabi, United Arab Emirates",+0400,no timezone abbreviation
"Wuhan, China",+0800,no timezone abbreviation
"Salt Lake City, Utah, United States",-0700,MST - Mountain Standard Time
"Budapest, Hungary",+0100,CET - Central European Time
"Córdoba, Spain",+0100,CET - Central European Time
"Portland, Oregon, United States",-0800,PST - Pacific Standard Time
"Islamabad, Pakistan",+0500,no timezone abbreviation
N,-0100,N - November Time Zone
"Charleston, West Virginia, United States",-0500,EST - Eastern Standard Time
"Changchun, China",+0800,no timezone abbreviation
"Reykjavik, Iceland",+0000,GMT - Greenwich Mean Time
"Houston, Texas, United States",-0600,CST - Central Standard Time
NDT,-0230,NDT - Newfoundland Daylight Time
"Ufa, Russian Federation",+0500,no timezone abbreviation
"Kolkata, West Bengal, India",+0530,no timezone abbreviation
"San Salvador, El Salvador",-0600,no timezone abbreviation
"St. Louis, Missouri, United States",-0600,CST - Central Standard Time
"Kingston, Norfolk Island, Australia",+1130,NFT - Norfolk (Island) Time
"Belfast, Northern Ireland, United Kingdom",+0000,GMT - Greenwich Mean Time
CDT,-0500,CDT - Central Daylight Time
"El Aaiún, Western Sahara",+0000,UTC - Coordinated Universal Time
"Sacramento, California, United States",-0800,PST - Pacific Standard Time
"Sapporo, Japan",+0900,no timezone abbreviation
"Mississauga, Ontario, Canada",-0500,EST - Eastern Standard Time
"Albuquerque, New Mexico, United States",-0700,MST - Mountain Standard Time
"Ouagadougou, Burkina Faso",+0000,UTC - Coordinated Universal Time
"Quito, Ecuador",-0500,no timezone abbreviation
"Tegucigalpa, Honduras",-0600,no timezone abbreviation
G,+0700,G - Golf Time Zone
"Port-aux-Francais, Kerguelen, France",+0500,no timezone abbreviation
WST,+0800,WST - Western Standard Time
"Santiago, Chile",-0300,no timezone abbreviation
"Paramaribo, Suriname",-0300,no timezone abbreviation
"San Jose, California, United States",-0800,PST - Pacific Standard Time
"Ludhiana, Punjab, India",+0530,no timezone abbreviation
"Port of Spain, Trinidad and Tobago",-0400,no timezone abbreviation
"Kowloon, China",+0800,no timezone abbreviation
"Salvador, Bahia, Brazil",-0300,no timezone abbreviation
"Mazatlan, Sinaloa, Mexico",-0700,MST - Mountain Standard Time
"Novosibirsk, Russian Federation",+0600,no timezone abbreviation
"Laval, Quebec, Canada",-0500,EST - Eastern Standard Time
"Bandung, Java, Indonesia",+0700,no timezone abbreviation
"Osaka, Japan",+0900,no timezone abbreviation
"Murmansk, Russian Federation",+0300,no timezone abbreviation
"Taiyuan, China",+0800,no timezone abbreviation
"Valletta, Malta",+0100,CET - Central European Time
"Kunming, China",+0800,no timezone abbreviation
"Buffalo, New York, United States",-0500,EST - Eastern Standard Time
"Vatican City, Vatican City State",+0100,CET - Central European Time
"Pago Pago, American Samoa, United States",-1100,no timezone abbreviation
"Miami, Florida, United States",-0500,EST - Eastern Standard Time
"San Juan, Puerto Rico",-0400,no timezone abbreviation
"Vladivostok, Russian Federation",+1000,no timezone abbreviation
"Tripoli, Libya",+0200,no timezone abbreviation
Y,-1200,Y - Yankee Time Zone
"Brampton, Ontario, Canada",-0500,EST - Eastern Standard Time
"Norfolk, Virginia, United States",-0500,EST - Eastern Standard Time
"Papeete, Tahiti, France",-1000,no timezone abbreviation
"Visakhapatnam, Andhra Pradesh, India",+0530,no timezone abbreviation
"Indore, Madhya Pradesh, India",+0530,no timezone abbreviation
"Dalian, China",+0800,no timezone abbreviation
"Raleigh, North Carolina, United States",-0500,EST - Eastern Standard Time
"Ljubljana, Slovenia",+0100,CET - Central European Time
